keyword,Title,Reviews,Review_points,Address,Country,City,State,Website,Phone,Latitude,Longitude,Category,Kecamatan,Kelurahan,Pasar_Amount,Landmark_Amount,Price_Range_Rp 100–125K,Price_Range_Rp 150–175K,"Price_Range_Rp 1–25,000","Price_Range_Rp 1–50,000","Price_Range_Rp 250,000+",Price_Range_Rp 25–50K,Price_Range_Rp 25–75K,Price_Range_Rp 50–100K,Price_Range_Rp 50–75K,Price_Range_Rp 75–100K,Busiest_time_Monday,Busiest_time_Tuesday,Busiest_time_Wednesday,Busiest_time_Thursday,Busiest_time_Friday,Busiest_time_Saturday,Busiest_time_Sunday,Populations_2023,Competitor,Review_rate,Average_review_points,Average_reviews,Max_reviews,Min_reviews,Success_rate,Success_rate_category_minor,Success_rate_category_major
Warung Makan di Malang,Kopi Kalibrantas,1645.0,4.4,"Jl. Regulus No.9, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,https://abchospitality.co.id/kopi-kalibrantas/,+62 857-6090-0906,-7.932062,112.606708,Minuman,Lowokwaru,Lowokwaru,33.0,79.0,False,False,False,False,False,True,False,False,False,False,5PM,1PM,4PM,4PM,3PM,2PM,2PM,19407,29,11246.75,4.55,621.97,8486.0,1.0,387.82,0.0,387.82
Warung Makan di Malang,Warung Arema,183.0,4.7,"Jl. Zainul Arifin No.3, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9818816,112.6348297,Warung,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,12PM,12PM,12PM,11AM,11AM,11AM,12PM,5928,53,12486.890738569753,4.53,847.21,21451.0,1.0,235.6,0.0,235.6
Warung Makan di Malang,Warung Nasi Rawon Mbak Ten,815.0,4.7,"Jl. Borobudur No.34, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65125, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9407743,112.6403281,Rawon,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,8733,5,4723.5,4.52,664.83,6759.0,1.0,944.7,944.7,0.0
Restoran di Malang,OURA - Cafe & Restaurant,2467.0,4.6,"Jl. Pahlawan Trip No.A11, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia",ID,Malang City,East Java,https://www.instagram.com/ouramlg/,+62 819-9355-6000,-7.9678288,112.6217853,Minuman,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,6PM,2PM,7PM,7PM,7PM,6PM,5928,48,15239.695369284877,4.53,847.21,21451.0,1.0,317.49,0.0,317.49
Warung Makan di Malang,Java Dancer Coffee Roaster,4390.0,4.5,"Jl. Jakarta No.59, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia",ID,Malang City,East Java,http://linktr.ee/javadancercoffeemlg,+62 816-563-850,-7.9654235,112.6204469,Minuman,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,8PM,2PM,2PM,8PM,8PM,8PM,8PM,5928,48,15239.695369284877,4.53,847.21,21451.0,1.0,317.49,0.0,317.49
Kuliner Tradisional Malang,Warung Orem-Orem,92.0,4.6,"No., Jl. Irian Jaya No.1, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 821-6620-0292,-7.9913531,112.6292272,Sayuran,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,5928,9,2338.5,4.53,847.21,21451.0,1.0,259.83,0.0,259.83
Kuliner Malang Terbaik,Pusat Kuliner Stasiun,40.0,4.1,"2JCP+JQQ, Kiduldalem, Klojen, Malang City, East Java 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9784127,112.6369811,Restoran,Klojen,Kiduldalem,4.0,8.0,False,False,True,False,False,False,False,False,False,False,11AM,10AM,9AM,11PM,9AM,6PM,10PM,6240,4,4748.05,4.4,1087.93,7541.0,2.0,1187.01,1187.01,0.0
Kuliner Malang Terbaik,Sate babi klenteng (CABANG),347.0,4.6,"Jl. Brigjend Slamet Riadi No.95, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 821-3192-0180,-7.9679963,112.6288999,Sate,Klojen,Klojen,45.0,20.0,False,False,False,False,False,False,True,False,False,False,7PM,6PM,1PM,6PM,6PM,7PM,6PM,5928,4,1343.55,4.53,847.21,21451.0,1.0,335.89,335.89,0.0
Toko Makanan Malang,Toko Basmalah Sidogiri Merjosari Malang,14.0,4.7,"Jl. Mertojoyo Sel. No.12, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9471821,112.6048908,Toko,Lowokwaru,Lowokwaru,33.0,79.0,False,False,True,False,False,False,False,False,False,False,6PM,6PM,8PM,3PM,5PM,8AM,12PM,19407,1,9.35,4.55,621.97,8486.0,1.0,9.35,9.35,0.0
Kuliner Tradisional Malang,Rujak Kuliner Wong Solo,13.0,4.6,"Jalan Danau Maninjau Blok.G No.15A, Sawojajar, Kedungkandang, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 823-3811-4808,-7.9791435,112.6568317,Sayuran,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,11781,1,8.8,4.58,367.15,2077.0,1.0,8.8,8.8,0.0
Toko Makanan Malang,Toko Basmalah Sidogiri Kalpataru Malang,15.0,4.9,"Jl. Kalpataru No.131, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9486428,112.6263799,Toko,Lowokwaru,Jatimulyo,7.0,1.0,False,False,True,False,False,False,False,False,False,False,12PM,7PM,1PM,7PM,1PM,8PM,6PM,19014,1,9.95,4.57,1122.21,7949.0,1.0,9.95,9.95,0.0
Warung Makan di Malang,Warung ERD masakan jawa makanan jadul,39.0,5.0,"Jl. Watugong II No.36, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 821-3300-0983,-7.9476108,112.6115212,Warung,Lowokwaru,Ketawanggede,0.0,33.0,False,False,True,False,False,False,False,False,False,False,3PM,7PM,6PM,2PM,9PM,4PM,7AM,5046,9,1402.05,4.55,285.07,2578.0,1.0,155.78,0.0,155.78
Toko Makanan Malang,makanan viral malang,3.0,4.0,"Gg. 2, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65138, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 838-4871-0165,-7.9852778,112.6592877,Lainnya,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,3PM,7PM,3PM,1PM,10AM,6PM,7PM,11781,4,548.445369284877,4.58,367.15,2077.0,1.0,137.11,137.11,0.0
Kuliner Tradisional Malang,Warung Pecel Pak Awik,873.0,4.6,"Jl. Maninjau Raya No.147, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 857-5565-3975,-7.9721996,112.6590493,Olahan Nasi,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,8AM,8AM,8AM,8AM,7PM,8AM,8AM,11781,5,1044.0,4.58,367.15,2077.0,1.0,208.8,208.8,0.0
Kuliner Malang Terbaik,Mie Bakar Celaket,2597.0,4.6,"Jl. Jaksa Agung Suprapto Gg. 1 No.22, Samaan, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-3348-8872,-7.9662245,112.6317123,Mie,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,7PM,11AM,11AM,12PM,12PM,1PM,1PM,5928,18,10453.095369284876,4.53,847.21,21451.0,1.0,580.73,0.0,580.73
Warung Makan di Malang,Pepper Lunch Olympic Garden Malang,2364.0,4.9,"Mal Olympic Garden, Jl. Kawi No.24, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65116, Indonesia",ID,Malang City,East Java,https://www.pepperlunch.com.sg/,+62 341 3018677,-7.9769651,112.6233162,Restoran,Klojen,Kauman,10.0,6.0,False,False,False,False,False,False,False,False,False,True,6PM,7PM,7PM,7PM,7PM,7PM,1PM,9063,10,5904.2,4.43,1342.15,7391.0,2.0,590.42,0.0,590.42
Kuliner Malang Terbaik,ThaiNam,697.0,4.4,"Kawi St No.35, Bareng, Klojen, Malang City, East Java 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 366970,-7.9777023,112.6229058,Lainnya,Klojen,Bareng,3.0,2.0,False,False,False,False,False,False,False,False,True,False,6PM,7PM,7PM,5PM,11AM,7PM,7PM,15048,1,350.7,4.49,1186.25,5376.0,10.0,350.7,350.7,0.0
Toko Makanan Malang,toko 23,2.0,5.0,"Jl. Mayjen.M.Wiyono No.23, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 813-3335-9823,-7.9779716,112.6457547,Toko,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,8733,1,3.5,4.52,664.83,6759.0,1.0,3.5,3.5,0.0
Restoran di Malang,Trimurti Resto,204.0,4.9,"Jl. Raden Panji Suroso No.7, Purwodadi, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia",ID,Malang City,East Java,https://all.accor.com/hotel/9824/index.id.shtml,+62 821-3100-2744,-7.9417126,112.6483659,Restoran,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,1PM,2PM,3PM,9AM,3PM,3PM,12PM,8733,10,2679.6,4.52,664.83,6759.0,1.0,267.96,0.0,267.96
Toko Makanan Malang,Toko Cahaya Barokah (oleh-oleh khas malang),1.0,1.0,"Jl. Muharto No.17, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65137, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 822-2922-3617,-7.9892418,112.6393094,Snack,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,8733,17,2992.4,4.52,664.83,6759.0,1.0,176.02,0.0,176.02
Kuliner Tradisional Malang,Nasi Jagung Bu Muslikah,505.0,4.6,"2JP7+553, Jalan Candi, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65115, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 895-6013-00825,-7.964605,112.61293,Olahan Nasi,Sukun,Karangbesuki,6.0,4.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,19668,1,254.8,4.62,502.83,1808.0,45.0,254.8,254.8,0.0
Warung Makan di Malang,Saboten Shokudo Ramen and Grill Malang - Soekarno Hatta,1526.0,4.6,"Jl. Soekarno Hatta Ptp I No.1, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,http://instagram.com/saboten.shokudo,+62 813-3005-5900,-7.9377797,112.6252895,Mie,Lowokwaru,Lowokwaru,33.0,79.0,False,False,False,False,False,True,False,False,False,False,6PM,7PM,7PM,6PM,7PM,6PM,6PM,19407,4,1601.65,4.55,621.97,8486.0,1.0,400.41,400.41,0.0
Warung Makan di Malang,Warung Mungil,30.0,4.4,"Jl. Nusakambangan No.2, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-3502-2850,-7.9884089,112.6292498,Warung,Klojen,Kasin,3.0,1.0,False,False,True,False,False,False,False,False,False,False,5PM,6AM,6PM,10AM,7AM,10AM,5PM,12918,2,1237.85,4.54,1444.47,7925.0,15.0,618.92,618.92,0.0
Toko Makanan Malang,"Delice By Dite (Soft Cookies, Desserts, Snacks) Malang",76.0,4.9,"Jl. Letjend Soetoyo IV No.16, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,https://linktr.ee/delicebydite,+62 858-5075-8897,-7.9589652,112.6364191,Lainnya,Lowokwaru,Lowokwaru,33.0,79.0,False,False,False,False,False,True,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,19407,25,6076.58610785463,4.55,621.97,8486.0,1.0,243.06,0.0,243.06
Kuliner Tradisional Malang,"""Es Talun"" Ice Depot",811.0,4.3,"Kawi St, Kauman, Klojen, Malang City, East Java 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-4972-2670,-7.9808418,112.6275706,Minuman,Klojen,Kauman,10.0,6.0,False,False,True,False,False,False,False,False,False,False,1PM,11AM,12PM,2PM,12PM,1PM,1PM,9063,15,5082.0,4.43,1342.15,7391.0,2.0,338.8,0.0,338.8
Kuliner Malang Terbaik,Soto Basket Stasiun,105.0,4.3,"Jl. Trunojoyo No.6, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 851-0278-0079,-7.9781666,112.6370903,Soto,Klojen,Kiduldalem,4.0,8.0,False,False,True,False,False,False,False,False,False,False,12PM,3PM,10AM,11AM,1PM,10AM,2PM,6240,1,54.65,4.4,1087.93,7541.0,2.0,54.65,54.65,0.0
Kuliner Malang Terbaik,Cocari,1636.0,4.8,"Jl. Dieng No.11, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia",ID,Malang City,East Java,https://www.instagram.com/cocarimalang/,+62 341 564797,-7.9736448,112.6145303,Masakan Lain,Klojen,Klojen,45.0,20.0,False,True,False,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,1PM,5928,15,2428.645369284877,4.53,847.21,21451.0,1.0,161.91,0.0,161.91
Warung Makan di Malang,Warung Pojok,25.0,4.8,"2JH8+M57, Jl. Gading Pesantren, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9708373,112.6154212,Warung,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,5928,53,12486.890738569753,4.53,847.21,21451.0,1.0,235.6,0.0,235.6
Kuliner Tradisional Malang,Mr. Sidjan Soto and Lontong Balap Surabaya style,502.0,4.4,"Ruko Sawojajar, Jl. Danau Toba No.6, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-3222-7882,-7.9800214,112.6565153,Soto,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,12PM,12PM,1PM,11AM,12PM,10AM,9AM,11781,2,330.45,4.58,367.15,2077.0,1.0,165.22,165.22,0.0
Toko Makanan Malang,Wicaksono Oleh Oleh Malang,825.0,4.4,"Jl. Candi Agung II No.1, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65142, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 472469 ext. 478121,-7.9442403,112.637262,Snack,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,11AM,6PM,6PM,6PM,6PM,7PM,7PM,8733,17,2992.4,4.52,664.83,6759.0,1.0,176.02,0.0,176.02
Kuliner Malang Terbaik,Soto Ayam Ambengan Bu Keni,4509.0,4.5,"Jl. Patimura No.9, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 822-4599-0544,-7.972115,112.6331012,Soto,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,12PM,12PM,12PM,12PM,10AM,12PM,9AM,5928,6,3557.15,4.53,847.21,21451.0,1.0,592.86,0.0,592.86
Warung Makan di Malang,Kaliurang Restaurant,961.0,4.3,"Jl. Kaliurang No.44, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,https://www.facebook.com/RM-Kaliurang-Malang-445277232252816/,+62 341 368343,-7.9628768,112.6321869,Restoran,Lowokwaru,Lowokwaru,33.0,79.0,False,False,True,False,False,False,False,False,False,False,12PM,7PM,6PM,3PM,9AM,11AM,11AM,19407,12,6241.145369284877,4.55,621.97,8486.0,1.0,520.1,0.0,520.1
Kuliner Tradisional Malang,Katsugi Bento Sulfat,26.0,4.4,"Taman Kuliner Sulfat, Jl. Taman Sulfat No.74, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 851-7982-2942,-7.9607417,112.6501478,Ayam,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,8733,3,1530.55,4.52,664.83,6759.0,1.0,510.18,510.18,0.0
Toko Makanan Malang,Tahu Mlothot,216.0,4.7,"Jl. Patimura No.5a, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-5257-576,-7.9718132,112.6332394,Snack,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,10PM,9PM,9PM,9PM,8PM,5928,30,7237.595369284877,4.53,847.21,21451.0,1.0,241.25,0.0,241.25
Restoran di Malang,AB Kitchen European Food,856.0,4.5,"Jl. Ungaran No.22, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia",ID,Malang City,East Java,https://www.instagram.com/abkitchenmalang,+62 341 341788,-7.9695658,112.6262326,Restoran,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,6PM,3PM,11AM,7PM,7PM,7PM,5928,22,14601.381477139506,4.53,847.21,21451.0,1.0,663.7,0.0,663.7
Toko Makanan Malang,Toko kue Sugeng,26.0,3.5,"Pasar Klojen Jl. Cokroaminoto No. 2, 65111, Jl. Cokroaminoto No.2 D, 3, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 813-3341-3701,-7.973021,112.6367074,Snack,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,1PM,5AM,4PM,1PM,5AM,6AM,8AM,5928,30,7237.595369284877,4.53,847.21,21451.0,1.0,241.25,0.0,241.25
Kuliner Tradisional Malang,Wisata Kuliner Alun Alun Kota Malang,3.0,4.3,"Jl. Merdeka Selatan No.5, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-3451-6035,-7.983697,112.63031,Restoran,Klojen,Kauman,10.0,6.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,9063,10,5904.2,4.43,1342.15,7391.0,2.0,590.42,0.0,590.42
Toko Makanan Malang,RotiBoy - Malang Town Square,183.0,4.5,"Jl. Veteran No.2, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65145, Indonesia",ID,Malang City,East Java,http://www.rotiboy.com/,Tidak Ada,-7.9571086,112.61874,Lainnya,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,7PM,5PM,4PM,9PM,4PM,12PM,5PM,5928,43,11154.986107854631,4.53,847.21,21451.0,1.0,259.42,0.0,259.42
Kuliner Malang Terbaik,Bakso Kirun,1578.0,4.5,"Ijen St, Oro-oro Dowo, Klojen, Malang City, East Java 65113, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 821-9310-1922,-7.9626512,112.625958,Bakso,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,12PM,1PM,1PM,2PM,1PM,1PM,1PM,5928,10,19706.0,4.53,847.21,21451.0,1.0,1970.6,0.0,1970.6
Toko Makanan Malang,Toko Kue Mbak Wiwik,30.0,4.0,"Jl. Gajayana No.660, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 567671,-7.944707,112.609606,Snack,Lowokwaru,Dinoyo,4.0,26.0,False,False,True,False,False,False,False,False,False,False,9AM,7PM,10AM,8AM,11AM,7AM,9AM,11217,2,159.3,4.57,276.87,1131.0,1.0,79.65,79.65,0.0
Kuliner Tradisional Malang,Pasar Tawangmangu,4182.0,4.3,"Jl. Tawangmangu No.8, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9597012,112.6311067,Pasar,Lowokwaru,Lowokwaru,33.0,79.0,False,False,True,False,False,False,False,False,False,False,8AM,8AM,8AM,8AM,8AM,8AM,8AM,19407,2,2098.15,4.55,621.97,8486.0,1.0,1049.08,1049.08,0.0
Toko Makanan Malang,Toko Bu Git,2.0,5.0,"Jl. Kaliurang No.23c RT04, RW.05, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 851-0757-0075,-7.9640508,112.6329836,Toko,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,8AM,8PM,5PM,11AM,1PM,8PM,3PM,5928,13,2118.3907385697535,4.53,847.21,21451.0,1.0,162.95,0.0,162.95
Kuliner Tradisional Malang,Rujak Manis Ananas Pak Bejo,1463.0,4.6,"Jl. Terusan Kawi No.9 Kav. 8, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116, Indonesia",ID,Malang City,East Java,https://www.instagram.com/rumanaspakbejo/,+62 851-0005-5438,-7.9739765,112.6157347,Sayuran,Klojen,Bareng,3.0,2.0,False,False,False,False,False,True,False,False,False,False,7PM,1PM,1PM,1PM,1PM,1PM,1PM,15048,1,733.8,4.49,1186.25,5376.0,10.0,733.8,733.8,0.0
Kuliner Malang Terbaik,Warung Aroda,210.0,4.5,"Jl. Kyai Tamin, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 851-0502-1805,-7.9891762,112.6343834,Warung,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,8PM,9PM,8PM,7PM,8PM,9PM,7PM,5928,53,12486.890738569753,4.53,847.21,21451.0,1.0,235.6,0.0,235.6
Kuliner Malang Terbaik,KMS Kedai Mie Sutoyo,1146.0,4.4,"Jl. Letjen Sutoyo No.41A, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 341 403666,-7.9606102,112.6365778,Mie,Lowokwaru,Lowokwaru,33.0,79.0,False,False,False,False,False,True,False,False,False,False,3PM,6PM,7PM,6PM,6PM,2PM,1PM,19407,4,1601.65,4.55,621.97,8486.0,1.0,400.41,400.41,0.0
Kuliner Tradisional Malang,Soto Daging Rahayu Hj Tutik Sejak 1928,150.0,4.5,"Gg. 7 No.13, Mergosono, Kec. Kedungkandang, Kota Malang, Jawa Timur 65134, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9967858,112.6345952,Soto,Kedungkandang,Kedungkandang,10.0,10.0,False,False,True,False,False,False,False,False,False,False,10AM,2PM,2PM,9AM,11AM,11AM,3PM,11781,2,330.45,4.58,367.15,2077.0,1.0,165.22,165.22,0.0
Restoran di Malang,Holycow! Steakhouse by Chef Afit,2235.0,4.6,"Jl. Guntur No.19, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",ID,Malang City,East Java,http://www.steakholycow.com/,+62 341 3032032,-7.9679517,112.6264796,Restoran,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,6PM,7PM,7PM,7PM,7PM,7PM,7PM,5928,22,14601.381477139506,4.53,847.21,21451.0,1.0,663.7,0.0,663.7
Toko Makanan Malang,BitesCake,197.0,5.0,"Jl. Jaksa Agung Suprapto Gg. 1 No.74, Samaan, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia",ID,Malang City,East Java,https://www.instagram.com/bitescake/,+62 813-3888-8410,-7.9652121,112.6296101,Snack,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,5PM,6PM,6PM,6PM,5PM,5PM,12PM,5928,30,7237.595369284877,4.53,847.21,21451.0,1.0,241.25,0.0,241.25
Kuliner Malang Terbaik,Rujak manis semeru,2551.0,4.5,"Jl. Rajekwesi No.4, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 812-3322-1007,-7.9740926,112.6171005,Sayuran,Klojen,Klojen,45.0,20.0,False,False,False,False,False,True,False,False,False,False,1PM,12PM,1PM,12PM,7PM,1PM,1PM,5928,9,2338.5,4.53,847.21,21451.0,1.0,259.83,0.0,259.83
Kuliner Malang Murah,D'keprek kertosentono,1070.0,4.5,"Jl. Kertosentono No.96B, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 896-4719-2986,-7.9489346,112.6114503,Ayam,Lowokwaru,Ketawanggede,0.0,33.0,False,False,True,False,False,False,False,False,False,False,11AM,6PM,11AM,6PM,3PM,12PM,11AM,5046,2,564.65,4.55,285.07,2578.0,1.0,282.32,282.32,0.0
Kuliner Tradisional Malang,Ayam Tulang Lunak MBOK SURIP,2346.0,4.3,"Jl. Sunandar Priyo Sudarmo No.04, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122, Indonesia",ID,Malang City,East Java,https://www.ayamtulanglunakmboksurip.com/,+62 852-8181-3354,-7.9551651,112.6446451,Ayam,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,8733,3,1530.55,4.52,664.83,6759.0,1.0,510.18,510.18,0.0
Kuliner Malang Terbaik,Pusat Kuliner Araya,35.0,4.5,"3M82+7C8, Jl. Raya Blimbing Indah, Polowijen, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia",ID,Malang City,East Java,Tidak Ada,Tidak Ada,-7.9343448,112.651083,Restoran,Blimbing,Blimbing,44.0,14.0,False,False,True,False,False,False,False,False,False,False,7PM,7PM,7PM,7PM,7PM,7PM,7PM,8733,10,2679.6,4.52,664.83,6759.0,1.0,267.96,0.0,267.96
Toko Makanan Malang,Seikophi Terrace,44.0,4.8,"Jl. Diponegoro No.19a, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",ID,Malang City,East Java,Tidak Ada,+62 859-5443-5544,-7.968841,112.633873,Restoran,Klojen,Klojen,45.0,20.0,False,False,True,False,False,False,False,False,False,False,5PM,9PM,1PM,5PM,11AM,7PM,12PM,5928,22,14601.381477139506,4.53,847.21,21451.0,1.0,663.7,0.0,663.7
